country_name,region_name,,,,,,
Italy,Europe and Central Asia,,,,,,"[125] ""Nepal""                        ""New Zealand""                 "
Kazakhstan,Europe and Central Asia,,,,,,"[127] ""Oman""                         ""Pakistan""                    "
Kosovo,Europe and Central Asia,,,,,,"[129] ""Panama""                       ""Peru""                        "
Kyrgyz Republic,Europe and Central Asia,,,,,,"[131] ""Philippines""                  ""Papua New Guinea""            "
Latvia,Europe and Central Asia,,,,,,"[133] ""Poland""                       ""Puerto Rico""                 "
Liechtenstein,Europe and Central Asia,,,,,,"[135] ""Portugal""                     ""Paraguay""                    "
Lithuania,Europe and Central Asia,,,,,,"[137] ""Palestine""                    ""Qatar""                       "
Luxembourg,Europe and Central Asia,,,,,,"[139] ""Kosovo""                       ""Romania""                     "
Moldova,Europe and Central Asia,,,,,,"[141] ""Russia""                       ""Rwanda""                      "
Monaco,Europe and Central Asia,,,,,,"[143] ""Saudi Arabia""                 ""Sudan""                       "
Montenegro,Europe and Central Asia,,,,,,"[145] ""Senegal""                      ""Singapore""                   "
Netherlands,Europe and Central Asia,,,,,,"[147] ""Solomon Islands""              ""Sierra Leone""                "
North Macedonia,Europe and Central Asia,,,,,,"[149] ""El Salvador""                  ""San Marino""                  "
Norway,Europe and Central Asia,,,,,,"[151] ""Somalia""                      ""Serbia""                      "
Poland,Europe and Central Asia,,,,,,"[153] ""South Sudan""                  ""Suriname""                    "
Portugal,Europe and Central Asia,,,,,,"[155] ""Slovak Republic""              ""Slovenia""                    "
Romania,Europe and Central Asia,,,,,,"[157] ""Sweden""                       ""Eswatini""                    "
Russia,Europe and Central Asia,,,,,,"[159] ""Seychelles""                   ""Syria""                       "
San Marino,Europe and Central Asia,,,,,,"[161] ""Chad""                         ""Togo""                        "
Serbia,Europe and Central Asia,,,,,,"[163] ""Thailand""                     ""Tajikistan""                  "
Slovak Republic,Europe and Central Asia,,,,,,"[165] ""Turkmenistan""                 ""Timor-Leste""                 "
Slovenia,Europe and Central Asia,,,,,,"[167] ""Tonga""                        ""Trinidad and Tobago""         "
Spain,Europe and Central Asia,,,,,,"[169] ""Tunisia""                      ""Turkey""                      "
Sweden,Europe and Central Asia,,,,,,"[171] ""Taiwan""                       ""Tanzania""                    "
Switzerland,Europe and Central Asia,,,,,,"[173] ""Uganda""                       ""Ukraine""                     "
Tajikistan,Europe and Central Asia,,,,,,"[175] ""Uruguay""                      ""United States""               "
Turkey,Europe and Central Asia,,,,,,"[177] ""Uzbekistan""                   ""Venezuela""                   "
Turkmenistan,Europe and Central Asia,,,,,,"[179] ""United States Virgin Islands"" ""Vietnam""                     "
Ukraine,Europe and Central Asia,,,,,,"[181] ""Vanuatu""                      ""Yemen""                       "
United Kingdom,Europe and Central Asia,,,,,,"[183] ""South Africa""                 ""Zambia""                      "
Uzbekistan,Europe and Central Asia,,,,,,"[185] ""Zimbabwe""                    "
Antigua and Barbuda,Latin America and Caribbean,,,,,,
Argentina,Latin America and Caribbean,,,,,,
Aruba,Latin America and Caribbean,,,,,,
Bahamas,Latin America and Caribbean,,,,,,
Barbados,Latin America and Caribbean,,,,,,
Belize,Latin America and Caribbean,,,,,,
Bolivia,Latin America and Caribbean,,,,,,
Brazil,Latin America and Caribbean,,,,,,
British Virgin Islands,Latin America and Caribbean,,,,,,
Cayman Islands,Latin America and Caribbean,,,,,,
Chile,Latin America and Caribbean,,,,,,
Colombia,Latin America and Caribbean,,,,,,
Costa Rica,Latin America and Caribbean,,,,,,
Cuba,Latin America and Caribbean,,,,,,
Curacao,Latin America and Caribbean,,,,,,
Dominica,Latin America and Caribbean,,,,,,
Dominican Republic,Latin America and Caribbean,,,,,,
Ecuador,Latin America and Caribbean,,,,,,
El Salvador,Latin America and Caribbean,,,,,,
Grenada,Latin America and Caribbean,,,,,,
Guatemala,Latin America and Caribbean,,,,,,
Guyana,Latin America and Caribbean,,,,,,
Haiti,Latin America and Caribbean,,,,,,
Honduras,Latin America and Caribbean,,,,,,
Jamaica,Latin America and Caribbean,,,,,,
Mexico,Latin America and Caribbean,,,,,,
Nicaragua,Latin America and Caribbean,,,,,,
Panama,Latin America and Caribbean,,,,,,
Paraguay,Latin America and Caribbean,,,,,,
Peru,Latin America and Caribbean,,,,,,
Puerto Rico,Latin America and Caribbean,,,,,,
Sint Maarten (Dutch part),Latin America and Caribbean,,,,,,
St. Kitts and Nevis,Latin America and Caribbean,,,,,,
St. Lucia,Latin America and Caribbean,,,,,,
St. Martin (French part),Latin America and Caribbean,,,,,,
St. Vincent and the Grenadines,Latin America and Caribbean,,,,,,
Suriname,Latin America and Caribbean,,,,,,
Trinidad and Tobago,Latin America and Caribbean,,,,,,
Turks and Caicos Islands,Latin America and Caribbean,,,,,,
Uruguay,Latin America and Caribbean,,,,,,
Venezuela,Latin America and Caribbean,,,,,,
United States Virign Islands,Latin America and Caribbean,,,,,,
Algeria,Middle East and North Africa,,,,,,
Bahrain,Middle East and North Africa,,,,,,
Djibouti,Middle East and North Africa,,,,,,
Egypt,Middle East and North Africa,,,,,,
Iran,Middle East and North Africa,,,,,,
Iraq,Middle East and North Africa,,,,,,
Israel,Middle East and North Africa,,,,,,
Jordan,Middle East and North Africa,,,,,,
Kuwait,Middle East and North Africa,,,,,,
Lebanon,Middle East and North Africa,,,,,,
Libya,Middle East and North Africa,,,,,,
Malta,Middle East and North Africa,,,,,,
Morocco,Middle East and North Africa,,,,,,
Oman,Middle East and North Africa,,,,,,
Qatar,Middle East and North Africa,,,,,,
Saudi Arabia,Middle East and North Africa,,,,,,
Syria,Middle East and North Africa,,,,,,
Tunisia,Middle East and North Africa,,,,,,
United Arab Emirates,Middle East and North Africa,,,,,,
West Bank and Gaza,Middle East and North Africa,,,,,,
Yemen,Middle East and North Africa,,,,,,
Bermuda,North America,,,,,,
Canada,North America,,,,,,
United States,North America,,,,,,
Afghanistan,South Asia,,,,,,
Bangladesh,South Asia,,,,,,
Bhutan,South Asia,,,,,,
India,South Asia,,,,,,
Maldives,South Asia,,,,,,
Nepal,South Asia,,,,,,
Pakistan,South Asia,,,,,,
Sri Lanka,South Asia,,,,,,
Angola,Sub-Saharan Africa,,,,,,
Benin,Sub-Saharan Africa,,,,,,
Botswana,Sub-Saharan Africa,,,,,,
Burkina Faso,Sub-Saharan Africa,,,,,,
Burundi,Sub-Saharan Africa,,,,,,
Cabo Verde,Sub-Saharan Africa,,,,,,
Cameroon,Sub-Saharan Africa,,,,,,
Central African Republic,Sub-Saharan Africa,,,,,,
Chad,Sub-Saharan Africa,,,,,,
Comoros,Sub-Saharan Africa,,,,,,
Democratic Republic of Congo,Sub-Saharan Africa,,,,,,
"Congo, Rep",Sub-Saharan Africa,,,,,,
Cote d'Ivoire,Sub-Saharan Africa,,,,,,
Equatorial Guinea,Sub-Saharan Africa,,,,,,
Eritrea,Sub-Saharan Africa,,,,,,
Eswatini,Sub-Saharan Africa,,,,,,
Ethiopia,Sub-Saharan Africa,,,,,,
Gabon,Sub-Saharan Africa,,,,,,
Gambia,Sub-Saharan Africa,,,,,,
Ghana,Sub-Saharan Africa,,,,,,
Guinea,Sub-Saharan Africa,,,,,,
Guinea-Bissau,Sub-Saharan Africa,,,,,,
Kenya,Sub-Saharan Africa,,,,,,
Lesotho,Sub-Saharan Africa,,,,,,
Liberia,Sub-Saharan Africa,,,,,,
Madagascar,Sub-Saharan Africa,,,,,,
Malawi,Sub-Saharan Africa,,,,,,
Mali,Sub-Saharan Africa,,,,,,
Mauritania,Sub-Saharan Africa,,,,,,
Mauritius,Sub-Saharan Africa,,,,,,
Mozambique,Sub-Saharan Africa,,,,,,
Namibia,Sub-Saharan Africa,,,,,,
Niger,Sub-Saharan Africa,,,,,,
Nigeria,Sub-Saharan Africa,,,,,,
Rwanda,Sub-Saharan Africa,,,,,,
Senegal,Sub-Saharan Africa,,,,,,
Seychelles,Sub-Saharan Africa,,,,,,
Sierra Leone,Sub-Saharan Africa,,,,,,
Somalia,Sub-Saharan Africa,,,,,,
South Africa,Sub-Saharan Africa,,,,,,
South Sudan,Sub-Saharan Africa,,,,,,
Sudan,Sub-Saharan Africa,,,,,,
Tanzania,Sub-Saharan Africa,,,,,,
Togo,Sub-Saharan Africa,,,,,,
Uganda,Sub-Saharan Africa,,,,,,
Zambia,Sub-Saharan Africa,,,,,,
Zimbabwe,Sub-Saharan Africa,,,,,,
